L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
8,pproj0.786,10,0.002195242879576414,0.0045651093178541245
8,pproj0.786,11,0.011001331102001593,0.00491179188095925
8,pproj0.786,12,0.012103672737109702,0.0050468585432889585
8,pproj0.786,13,0.016150785975152317,0.0046516995987603525
8,pproj0.786,14,0.025330550457230545,0.00506213707172234
8,pproj0.786,15,0.02325541802293948,0.004419147892100521
8,pproj0.786,16,0.024593419486867503,0.004074348483040328
8,pproj0.786,17,0.021304855271577026,0.003995179521906528
8,pproj0.786,18,0.015452407463215374,0.0030434649638996563
8,pproj0.786,19,0.008372280544193124,0.0023277346411874175
8,pproj0.786,20,0.010766560820689141,0.002176696933005686
8,pproj0.821,0,-7.771561172376096e-19,2.7146006950167985e-19
8,pproj0.821,1,0.0036716799950458822,0.0012583886369351524
8,pproj0.821,2,0.004571543814484493,0.0014045895351573077
8,pproj0.821,3,0.008993243622686428,0.0018277458378693772
8,pproj0.821,4,0.00937239228108517,0.0024590790686560837
8,pproj0.821,5,0.013473347902021642,0.00250106164203173
8,pproj0.821,6,0.012870988751941254,0.0032556508228381888
8,pproj0.821,7,0.012418930803253438,0.0032841011193267887
8,pproj0.821,8,0.017503285072398688,0.0037260474886955837
8,pproj0.821,9,0.019318038680808846,0.0038673974178430434
8,pproj0.821,10,0.02048263389887406,0.004362302935734904
8,pproj0.821,11,0.022736664301391873,0.004020077327684416
8,pproj0.821,12,0.028617645514354976,0.0044264452836863645
8,pproj0.821,13,0.021722638870533793,0.004544595873646677
8,pproj0.821,14,0.020083375625396926,0.004254040936901617
8,pproj0.821,15,0.02975034136963669,0.004381550862174922
8,pproj0.821,16,0.02054368949521777,0.0037729116862291793
8,pproj0.821,17,0.02540719853134335,0.0036344464085832176
8,pproj0.821,18,0.02415357504258062,0.003140869616864578
8,pproj0.821,19,0.009447825010126408,0.0023333716300142143
8,pproj0.821,20,0.009082083234743618,0.0017374573590783712
8,pproj0.857,0,-1.6653345369377348e-19,9.610002416639412e-20
8,pproj0.857,1,0.0027844469855484353,0.0009349033980138586
8,pproj0.857,2,0.0031162565818776545,0.0011568493399043219
8,pproj0.857,3,0.006732044780902543,0.0014928327113482255
8,pproj0.857,4,0.010226065859446465,0.0021711666867455692
8,pproj0.857,5,0.015299768264967978,0.0025060624928626156
8,pproj0.857,6,0.014503686489894991,0.0024753505336447567
8,pproj0.857,7,0.01164527750870748,0.002516196203165666
8,pproj0.857,8,0.02128248576856476,0.0032870855862435506
8,pproj0.857,9,0.020419687780066677,0.0032617365594703063
8,pproj0.857,10,0.018698406572420775,0.003323090019675821
8,pproj0.857,11,0.03376663644921042,0.004111938051253909
8,pproj0.857,12,0.0323838156018648,0.004068449008527691
8,pproj0.857,13,0.03374123669649593,0.0037152826912388577
8,pproj0.857,14,0.03416143594696994,0.00381395184075087
8,pproj0.857,15,0.03014142545199418,0.0038400104247371136
8,pproj0.857,16,0.02026695178986696,0.003212152366114319
8,pproj0.857,17,0.03096952807648089,0.003233291068719873
8,pproj0.857,18,0.0184877960797824,0.002721791272927633
8,pproj0.857,19,0.007781188349933825,0.001791577080192248
8,pproj0.857,20,0.004040535791013381,0.0012349692042076393
8,pproj0.893,0,0.0,0.0
8,pproj0.893,1,0.0019616585060234495,0.0007493802252810296
8,pproj0.893,2,0.003183700833657318,0.0010912466152720364
8,pproj0.893,3,0.00754531647107107,0.0015333221780719662
8,pproj0.893,4,0.005870775780809494,0.0015820854692892902
8,pproj0.893,5,0.008337898407227151,0.001747246280069277
8,pproj0.893,6,0.009382073528416444,0.0021293228591078915
8,pproj0.893,7,0.019806531890345123,0.00266803481085852
8,pproj0.893,8,0.018559530223936634,0.002900955825217188
8,pproj0.893,9,0.01816693759373942,0.002820329535824486
8,pproj0.893,10,0.0237864964638754,0.0031484607917478913
8,pproj0.893,11,0.02296168909911833,0.003127209984656059
8,pproj0.893,12,0.027115308014415775,0.0034384041814652213
8,pproj0.893,13,0.02932369266829099,0.003222099670020117
8,pproj0.893,14,0.02478815329403247,0.0033207231164789916
8,pproj0.893,15,0.02330894124486571,0.00292846819604186
8,pproj0.893,16,0.01830886449953822,0.002766305619152566
8,pproj0.893,17,0.016924262908488037,0.0024131363751656977
8,pproj0.893,18,0.011159411900026256,0.002084817076131077
8,pproj0.893,19,0.010801430004350035,0.0019334411348135392
8,pproj0.893,20,0.0065577117013701685,0.0015740352885428009
8,pproj0.929,0,0.0,0.0
8,pproj0.929,1,0.0004054651081081627,0.0003515125088765124
8,pproj0.929,2,0.0024260151319598043,0.0008734797810528819
8,pproj0.929,3,0.0038445787536484782,0.001088078804642257
8,pproj0.929,4,0.0028756077639454083,0.0010794387326298683
8,pproj0.929,5,0.007068537325136153,0.001599273770217466
8,pproj0.929,6,0.006456126980594317,0.0018110899097178745
8,pproj0.929,7,0.007891890061351036,0.001833828490407443
8,pproj0.929,8,0.013435290288568305,0.002196665985223998
8,pproj0.929,9,0.01280323194942633,0.0021368795389635513
8,pproj0.929,10,0.01860944890148587,0.0026329921425137463
8,pproj0.929,11,0.019089668183167867,0.0026361199412277773
8,pproj0.929,12,0.017935604512418643,0.002669850189585495
8,pproj0.929,13,0.02146478027456105,0.0027995009978908003
8,pproj0.929,14,0.02162772535630957,0.0028148463243621888
8,pproj0.929,15,0.015296671025553408,0.0023428725622884907
8,pproj0.929,16,0.01743720140865122,0.0025252748978658018
8,pproj0.929,17,0.008633625677025277,0.0019285491549763923
8,pproj0.929,18,0.007630265989468768,0.0017111093533664589
